Element Name,Windows NT,Windows,Component,Component Version,Declaration Header,Include Header,Library,Unicode,Element Type
AllocateAndInitializeSid,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AllocateLocallyUniqueId,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AreAllAccessesGranted,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
AreAnyAccessesGranted,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
BuildExplicitAccessWithName,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
BuildSecurityDescriptor,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
BuildTrusteeWithName,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
BuildTrusteeWithObjectsAndName,Windows 2000,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows 2000.,function
BuildTrusteeWithObjectsAndSid,Windows 2000,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows 2000.,function
BuildTrusteeWithSid,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
CheckTokenMembership,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
ConvertSecurityDescriptorToStringSecurityDescriptor,Windows 2000,,Access Control,,Sddl.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows 2000.,function
ConvertSidToStringSid,Windows 2000,,Access Control,,Sddl.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows 2000.,function
ConvertStringSecurityDescriptorToSecurityDescriptor,Windows 2000,,Access Control,,Sddl.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows 2000.,function
ConvertStringSidToSid,Windows 2000,,Access Control,,Sddl.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows 2000.,function
ConvertToAutoInheritPrivateObjectSecurity,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
CopySid,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
CreatePrivateObjectSecurity,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
CreatePrivateObjectSecurityEx,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
CreateRestrictedToken,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
CreateSecurityPage,Windows 2000,,Access Control,,Aclui.h,,Aclui.lib,,function
DeleteAce,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
DestroyPrivateObjectSecurity,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
DuplicateToken,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
DuplicateTokenEx,Windows NT 4.0 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
EditSecurity,Windows 2000,,Access Control,,Aclui.h,,Aclui.lib,,function
EqualPrefixSid,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
EqualSid,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
FindFirstFreeAce,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
FreeSid,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetAce,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetAclInformation,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetAuditedPermissionsFromAcl,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
GetEffectiveRightsFromAcl,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
GetExplicitEntriesFromAcl,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
GetFileSecurity,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
GetKernelObjectSecurity,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetLengthSid,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetNamedSecurityInfo,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
GetPrivateObjectSecurity,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetSecurityDescriptorControl,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetSecurityDescriptorDacl,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetSecurityDescriptorGroup,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetSecurityDescriptorLength,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetSecurityDescriptorOwner,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetSecurityDescriptorRMControl,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetSecurityDescriptorSacl,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetSecurityInfo,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,,function
GetSidIdentifierAuthority,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetSidLengthRequired,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetSidSubAuthority,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetSidSubAuthorityCount,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetTokenInformation,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
GetTrusteeForm,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
GetTrusteeName,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
GetTrusteeType,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
GetUserObjectSecurity,Windows NT 3.1 or later,,Access Control,,Winuser.h,Windows.h,User32.lib,,function
ImpersonateAnonymousToken,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
ImpersonateLoggedOnUser,Windows NT 3.51 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
ImpersonateNamedPipeClient,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
ImpersonateSelf,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
InitializeAcl,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
InitializeSecurityDescriptor,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
InitializeSid,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
IsTokenRestricted,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
IsValidAcl,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
IsValidSecurityDescriptor,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
IsValidSid,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
LogonUser,Windows NT 3.51 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
LookupAccountName,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
LookupAccountSid,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
LookupPrivilegeDisplayName,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
LookupPrivilegeName,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
LookupPrivilegeValue,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
LookupSecurityDescriptorParts,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
MakeAbsoluteSD,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
MakeSelfRelativeSD,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
MapGenericMask,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
ObjectCloseAuditAlarm,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
ObjectDeleteAuditAlarm,Windows NT 4.0 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
ObjectOpenAuditAlarm,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
ObjectPrivilegeAuditAlarm,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
OpenProcessToken,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
OpenThreadToken,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
PrivilegeCheck,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
PrivilegedServiceAuditAlarm,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
QueryServiceObjectSecurity,Windows NT 3.1 or later,,Access Control,,Winsvc.h,Windows.h,Advapi32.lib,,function
RegGetKeySecurity,Windows NT 3.1 or later,,Access Control,,Winreg.h,Windows.h,Advapi32.lib,,function
RegSetKeySecurity,Windows NT 3.1 or later,,Access Control,,Winreg.h,Windows.h,Advapi32.lib,,function
RevertToSelf,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
SetAclInformation,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
SetEntriesInAcl,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
SetFileSecurity,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
SetKernelObjectSecurity,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
SetNamedSecurityInfo,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
SetPrivateObjectSecurity,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
SetPrivateObjectSecurityEx,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
SetSecurityDescriptorControl,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
SetSecurityDescriptorDacl,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
SetSecurityDescriptorGroup,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
SetSecurityDescriptorOwner,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
SetSecurityDescriptorRMControl,Windows 2000,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
SetSecurityDescriptorSacl,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
SetSecurityInfo,Windows NT 4.0 or later,,Access Control,,Aclapi.h,,Advapi32.lib,,function
SetServiceObjectSecurity,Windows NT 3.1 or later,,Access Control,,Winsvc.h,Windows.h,Advapi32.lib,,function
SetThreadToken,Windows NT 3.51 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
SetTokenInformation,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,function
SetUserObjectSecurity,Windows NT 3.1 or later,,Access Control,,Winuser.h,Windows.h,User32.lib,,function
ISecurityInformation,Windows 2000,,Access Control,,Aclui.h,,,,interface
ISecurityInformation2,Windows 2000,,Access Control,,Aclui.h,,,,interface
ACCESS_ALLOWED_ACE,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
ACCESS_ALLOWED_OBJECT_ACE,Windows 2000,,Access Control,,Winnt.h,Windows.h,,,structure
ACCESS_DENIED_ACE,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
ACCESS_DENIED_OBJECT_ACE,Windows 2000,,Access Control,,Winnt.h,Windows.h,,,structure
ACCESS_MASK,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
ACE,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
ACE_HEADER,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
ACL,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
ACL_REVISION_INFORMATION,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
ACL_SIZE_INFORMATION,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
EXPLICIT_ACCESS,Windows NT 4.0 or later,,Access Control,,Accctrl.h,,,Declared as Unicode and ANSI structures.,structure
GENERIC_MAPPING,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
LUID,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
LUID_AND_ATTRIBUTES,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
OBJECT_TYPE_LIST,Windows 2000,,Access Control,,Winnt.h,Windows.h,,,structure
OBJECTS_AND_NAME,Windows 2000,,Access Control,,Accctrl.h,,,Declared as Unicode and ANSI structures.,structure
OBJECTS_AND_SID,Windows 2000,,Access Control,,Accctrl.h,,,Declared as Unicode and ANSI structures.,structure
PRIVILEGE_SET,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
SECURITY_ATTRIBUTES,Windows NT 3.1 or later,,Access Control,,Winbase.h,Windows.h,,,structure
SECURITY_DESCRIPTOR,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
SECURITY_DESCRIPTOR_CONTROL,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
SECURITY_INFORMATION,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
SECURITY_QUALITY_OF_SERVICE,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
SI_ACCESS,Windows 2000,,Access Control,,Aclui.h,,,,structure
SI_INHERIT_TYPE,Windows 2000,,Access Control,,Aclui.h,,,,structure
SI_OBJECT_INFO,Windows 2000,,Access Control,,Aclui.h,,,,structure
SID,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
SID_AND_ATTRIBUTES,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
SID_IDENTIFIER_AUTHORITY,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
SID_INFO,Windows 2000,,Access Control,,Aclui.h,,,,structure
SID_INFO_LIST,Windows 2000,,Access Control,,Aclui.h,,,,structure
SYSTEM_AUDIT_ACE,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
SYSTEM_AUDIT_OBJECT_ACE,Windows 2000,,Access Control,,Winnt.h,Windows.h,,,structure
TOKEN_CONTROL,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
TOKEN_DEFAULT_DACL,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
TOKEN_GROUPS,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
TOKEN_OWNER,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
TOKEN_PRIMARY_GROUP,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
TOKEN_PRIVILEGES,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
TOKEN_SOURCE,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
TOKEN_STATISTICS,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
TOKEN_USER,Windows NT 3.1 or later,,Access Control,,Winnt.h,Windows.h,,,structure
TRUSTEE,Windows NT 4.0 or later,,Access Control,,Accctrl.h,,,Declared as Unicode and ANSI structures.,structure
SoundSentryProc,Windows NT 3.1 or later,Windows 95 or later,Accessibility,,Winuser.h,Windows.h,,,callback function
WinEventProc Callback Function,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Winuser.h,Windows.h,,,callback function
AccessibleChildren,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Oleacc.h,,Oleacc.lib,,function
AccessibleObjectFromEvent,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Oleacc.h,,Oleacc.lib,,function
AccessibleObjectFromPoint,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Oleacc.h,,Oleacc.lib,,function
AccessibleObjectFromWindow,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Oleacc.h,,Oleacc.lib,,function
CreateStdAccessibleObject,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Oleacc.h,,Oleacc.lib,,function
CreateStdAccessibleProxy,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Oleacc.h,,Oleacc.lib,,function
GetOleaccVersionInfo,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Oleacc.h,,Oleacc.lib,,function
GetRoleText,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Oleacc.h,,Oleacc.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
GetStateText,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Oleacc.h,,Oleacc.lib,Implemented as Unicode and ANSI versions on Windows NT/2000.,function
LresultFromObject,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Oleacc.h,,Oleacc.lib,,function
NotifyWinEvent,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Winuser.h,Windows.h,User32.lib,,function
SetWinEventHook,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Winuser.h,Windows.h,User32.lib,,function
UnhookWinEvent,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Winuser.h,Windows.h,User32.lib,,function
WindowFromAccessibleObject,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Oleacc.h,,Oleacc.lib,,function
IAccessible,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Oleacc.h,,Oleacc.lib,,interface
WM_GETOBJECT,Windows NT 4.0 SP4 or later,Windows 95 or later,Accessibility,,Winuser.h,Windows.h,,,message
ACCESSTIMEOUT,Windows NT 3.5 or later,Windows 95 or later,Accessibility,,Winuser.h,Windows.h,,,structure
FILTERKEYS,Windows NT 3.5 or later,Windows 95 or later,Accessibility,,Winuser.h,Windows.h,,,structure
HIGHCONTRAST,Windows NT 3.1 or later,Windows 95 or later,Accessibility,,Winuser.h,Windows.h,,,structure
MOUSEKEYS,Windows NT 3.5 or later,Windows 95 or later,Accessibility,,Winuser.h,Windows.h,,,structure
MSAAMENUITEM,Windows NT 3.5 or later,Windows 95 or later,Accessibility,,Oleacc.h,,,,structure
SERIALKEYS,Windows NT 3.51 or later,Windows 95 or later,Accessibility,,Winuser.h,Windows.h,,,structure
SOUNDSENTRY,Windows NT 3.1 or later,Windows 95 or later,Accessibility,,Winuser.h,Windows.h,,,structure
STICKYKEYS,Windows NT 3.5 or later,Windows 95 or later,Accessibility,,Winuser.h,Windows.h,,,structure
TOGGLEKEYS,Windows NT 3.5 or later,Windows 95 or later,Accessibility,,Winuser.h,Windows.h,,,structure
_BrowseCallBack,Windows 2000,,ADS,,Dsclient.h,,,,callback function
SyncUpdateProc,Windows 2000,,ADS,,Ntdsapi.h,,,,callback function
DsAddressToSiteNames,Windows 2000,,ADS,,Dsgetdc.h,,Ntdsapi.dll,Implemented as Unicode and ANSI versions on Windows 2000.,function
DsAddSidHistory,Windows 2000,,ADS,,Ntdsapi.h,,Ntdsapi.dll,Implemented as Unicode and ANSI versions on Windows 2000.,function
DsBackupClose,Windows 2000,,ADS,,Ntdsbcli.h,,Ntdsbcli.dll,,function
DsBackupEnd,Windows 2000,,ADS,,Ntdsbcli.h,,Ntdsbcli.dll,,function
DsBackupFree,Windows 2000,,ADS,,Ntdsbcli.h,,Ntdsbcli.dll,,function
DsBackupGetBackupLogs,Windows 2000,,ADS,,Ntdsbcli.h,,Ntdsbcli.dll,Implemented as Unicode and ANSI versions on Windows 2000.,function
DsBackupGetDatabaseNames,Windows 2000,,ADS,,Ntdsbcli.h,,Ntdsbcli.dll,Implemented as Unicode and ANSI versions on Windows 2000.,function
DsBackupOpenFile,Windows 2000,,ADS,,Ntdsbcli.h,,Ntdsbcli.dll,Implemented as Unicode and ANSI versions on Windows 2000.,function
DsBackupPrepare,Windows 2000,,ADS,,Ntdsbcli.h,,Ntdsbcli.dll,Implemented as Unicode and ANSI versions on Windows 2000.,function
DsBackupRead,Windows 2000,,ADS,,Ntdsbcli.h,,Ntdsbcli.dll,,function
DsBackupTruncateLogs,Windows 2000,,ADS,,Ntdsbcli.h,,Ntdsbcli.dll,,function
DsBind,Windows 2000,,ADS,,Ntdsapi.h,,Ntdsapi.dll,Implemented as Unicode and ANSI versions on Windows 2000.,function
DsBindWithCred,Windows 2000,,ADS,,Ntdsapi.h,,Ntdsapi.dll,Implemented as Unicode and ANSI versions on Windows 2000.,function
DsBrowseForContainer,Windows 2000 ,,ADS,,Dsclient.h,,Dsuiext.dll,Implemented as Unicode and ANSI versions on Windows 2000.,function
DsCrackNames,Windows 2000,,ADS,,Ntdsapi.h,,Ntdsapi.dll,Implemented as Unicode and ANSI versions on Windows 2000.,function
DsCrackSpn,Windows 2000,,ADS,,Ntdsapi.h,,Ntdsapi.dll,Implemented as Unicode and ANSI versions on Windows 2000.,function
DsDeregisterDnsHostRecords,Windows 2000,,ADS,,Dsgetdc.h,,Ntdsapi.dll,Implemented as Unicode and ANSI versions on Windows 2000.,function
DsEnumerateDomainTrusts,Windows 2000,,ADS,,Dsgetdc.h,,Ntdsapi.dll,Implemented as Unicode and ANSI versions on Windows 2000.,function
